n,t,avg_depth
1000,100000,11.4240
6000,600000,15.1577
11000,1000000,16.2255
16000,1000000,16.2353
21000,1000000,16.2338
26000,1000000,16.2428
31000,1000000,16.2452
36000,1000000,16.2493
41000,1000000,16.2520
46000,1000000,16.2575
51000,1000000,16.2489
56000,1000000,16.2548
61000,1000000,16.2539
66000,1000000,16.2570
71000,1000000,16.2546
76000,1000000,16.2548
81000,1000000,16.2605
86000,1000000,16.2631
91000,1000000,16.2607
96000,1000000,16.2601
101000,1000000,16.2661
106000,1000000,16.2703
111000,1000000,16.2676
116000,1000000,16.2641
121000,1000000,16.2743
126000,1000000,16.2695
131000,1000000,16.2741
136000,1000000,16.2678
141000,1000000,16.2694
146000,1000000,16.2757
151000,1000000,16.2651
156000,1000000,16.2736
161000,1000000,16.2694
166000,1000000,16.2747
171000,1000000,16.2777
176000,1000000,16.2778
181000,1000000,16.2750
186000,1000000,16.2746
191000,1000000,16.2701
196000,1000000,16.2783
201000,1000000,16.2771
206000,1000000,16.2713
211000,1000000,16.2788
216000,1000000,16.2751
221000,1000000,16.2742
226000,1000000,16.2755
231000,1000000,16.2858
236000,1000000,16.2754
241000,1000000,16.2780
246000,1000000,16.2863
251000,1000000,16.2784
256000,1000000,16.2818
261000,1000000,16.2834
266000,1000000,16.2806
271000,1000000,16.2840
276000,1000000,16.2846
281000,1000000,16.2786
286000,1000000,16.2790
291000,1000000,16.2811
296000,1000000,16.2863
301000,1000000,16.2822
306000,1000000,16.2846
311000,1000000,16.2850
316000,1000000,16.2884
321000,1000000,16.2846
326000,1000000,16.2873
331000,1000000,16.2886
336000,1000000,16.2841
341000,1000000,16.2814
346000,1000000,16.2921
351000,1000000,16.2869
356000,1000000,16.2857
361000,1000000,16.2912
366000,1000000,16.2885
371000,1000000,16.2862
376000,1000000,16.2891
381000,1000000,16.2887
386000,1000000,16.2897
391000,1000000,16.2896
396000,1000000,16.2964
401000,1000000,16.2937
406000,1000000,16.2904
411000,1000000,16.2894
416000,1000000,16.2917
421000,1000000,16.2888
426000,1000000,16.2929
431000,1000000,16.2924
436000,1000000,16.2909
441000,1000000,16.2928
446000,1000000,16.2931
451000,1000000,16.2911
456000,1000000,16.2908
461000,1000000,16.2916
466000,1000000,16.2932
471000,1000000,16.2961
476000,1000000,16.2951
481000,1000000,16.2967
486000,1000000,16.2947
491000,1000000,16.2901
496000,1000000,16.2972
501000,1000000,16.2902
506000,1000000,16.2990
511000,1000000,16.2968
516000,1000000,16.3021
521000,1000000,16.2972
526000,1000000,16.2961
531000,1000000,16.2917
536000,1000000,16.2978
541000,1000000,16.3053
546000,1000000,16.2988
551000,1000000,16.2976
556000,1000000,16.2970
561000,1000000,16.2956
566000,1000000,16.2904
571000,1000000,16.2958
576000,1000000,16.2973
581000,1000000,16.2968
586000,1000000,16.3006
591000,1000000,16.2951
596000,1000000,16.3004
601000,1000000,16.2971
606000,1000000,16.2983
611000,1000000,16.3034
616000,1000000,16.2952
621000,1000000,16.2973
626000,1000000,16.2920
631000,1000000,16.3038
636000,1000000,16.2967
641000,1000000,16.3000
646000,1000000,16.2980
651000,1000000,16.3000
656000,1000000,16.3046
661000,1000000,16.3004
666000,1000000,16.3013
671000,1000000,16.3018
676000,1000000,16.3012
681000,1000000,16.3045
686000,1000000,16.3028
691000,1000000,16.3046
696000,1000000,16.3075
701000,1000000,16.2971
706000,1000000,16.3037
711000,1000000,16.3011
716000,1000000,16.3032
721000,1000000,16.3063
726000,1000000,16.3000
731000,1000000,16.3036
736000,1000000,16.3010
741000,1000000,16.3031
746000,1000000,16.3045
751000,1000000,16.3023
756000,1000000,16.2949
761000,1000000,16.3054
766000,1000000,16.3015
771000,1000000,16.3102
776000,1000000,16.3049
781000,1000000,16.3057
786000,1000000,16.2996
791000,1000000,16.3030
796000,1000000,16.3110
801000,1000000,16.2987
806000,1000000,16.3051
811000,1000000,16.3041
816000,1000000,16.3074
821000,1000000,16.3037
826000,1000000,16.3004
831000,1000000,16.3024
836000,1000000,16.3064
841000,1000000,16.3018
846000,1000000,16.3085
851000,1000000,16.3014
856000,1000000,16.3027
861000,1000000,16.3030
866000,1000000,16.3053
871000,1000000,16.3124
876000,1000000,16.3103
881000,1000000,16.3051
886000,1000000,16.3065
891000,1000000,16.3052
896000,1000000,16.3094
901000,1000000,16.3079
906000,1000000,16.3043
911000,1000000,16.3118
916000,1000000,16.3074
921000,1000000,16.3090
926000,1000000,16.3052
931000,1000000,16.3108
936000,1000000,16.3057
941000,1000000,16.3067
946000,1000000,16.3076
951000,1000000,16.3006
956000,1000000,16.3120
961000,1000000,16.3039
966000,1000000,16.3050
971000,1000000,16.3075
976000,1000000,16.3070
981000,1000000,16.3064
986000,1000000,16.3073
991000,1000000,16.3081
996000,1000000,16.3073
