n,t,avg_depth
1000,10000,2.4977
6000,10000,2.4723
11000,10000,2.4917
16000,10000,2.4924
21000,10000,2.5123
26000,10000,2.5034
31000,10000,2.5070
36000,10000,2.4820
41000,10000,2.5100
46000,10000,2.5035
51000,10000,2.5092
56000,10000,2.5070
61000,10000,2.5210
66000,10000,2.4892
71000,10000,2.5211
76000,10000,2.5047
81000,10000,2.5140
86000,10000,2.4953
91000,10000,2.5228
96000,10000,2.4995
101000,10000,2.4722
106000,10000,2.5075
111000,10000,2.4724
116000,10000,2.4894
121000,10000,2.5021
126000,10000,2.5165
131000,10000,2.4800
136000,10000,2.4914
141000,10000,2.4919
146000,10000,2.5165
151000,10000,2.4961
156000,10000,2.5055
161000,10000,2.5046
166000,10000,2.4861
171000,10000,2.5106
176000,10000,2.5021
181000,10000,2.5048
186000,10000,2.5028
191000,10000,2.5202
196000,10000,2.5163
201000,10000,2.5169
206000,10000,2.5183
211000,10000,2.4986
216000,10000,2.4811
221000,10000,2.5197
226000,10000,2.4760
231000,10000,2.5282
236000,10000,2.5020
241000,10000,2.4948
246000,10000,2.4889
251000,10000,2.4982
256000,10000,2.5033
261000,10000,2.5009
266000,10000,2.5010
271000,10000,2.4986
276000,10000,2.5007
281000,10000,2.5028
286000,10000,2.4962
291000,10000,2.4987
296000,10000,2.4905
301000,10000,2.5193
306000,10000,2.5053
311000,10000,2.4724
316000,10000,2.5023
321000,10000,2.5296
326000,10000,2.5032
331000,10000,2.5093
336000,10000,2.5109
341000,10000,2.5186
346000,10000,2.5095
351000,10000,2.4918
356000,10000,2.5009
361000,10000,2.4901
366000,10000,2.5128
371000,10000,2.5090
376000,10000,2.5074
381000,10000,2.5060
386000,10000,2.5053
391000,10000,2.4888
396000,10000,2.5067
401000,10000,2.4652
406000,10000,2.5010
411000,10000,2.4798
416000,10000,2.5087
421000,10000,2.4946
426000,10000,2.5013
431000,10000,2.5221
436000,10000,2.5038
441000,10000,2.5258
446000,10000,2.4779
451000,10000,2.4853
456000,10000,2.5036
461000,10000,2.5314
466000,10000,2.4859
471000,10000,2.4977
476000,10000,2.5100
481000,10000,2.5152
486000,10000,2.5182
491000,10000,2.5151
496000,10000,2.4813
501000,10000,2.5039
506000,10000,2.5269
511000,10000,2.4948
516000,10000,2.5091
521000,10000,2.5390
526000,10000,2.4864
531000,10000,2.5092
536000,10000,2.4761
541000,10000,2.4830
546000,10000,2.4803
551000,10000,2.5018
556000,10000,2.4989
561000,10000,2.5175
566000,10000,2.4916
571000,10000,2.4945
576000,10000,2.4890
581000,10000,2.4892
586000,10000,2.5037
591000,10000,2.4776
596000,10000,2.5233
601000,10000,2.5153
606000,10000,2.4813
611000,10000,2.5206
616000,10000,2.5258
621000,10000,2.4874
626000,10000,2.5085
631000,10000,2.4982
636000,10000,2.4733
641000,10000,2.4936
646000,10000,2.5066
651000,10000,2.5073
656000,10000,2.4881
661000,10000,2.5236
666000,10000,2.5111
671000,10000,2.4787
676000,10000,2.4968
681000,10000,2.5070
686000,10000,2.4854
691000,10000,2.4932
696000,10000,2.5012
701000,10000,2.4955
706000,10000,2.5084
711000,10000,2.4726
716000,10000,2.4853
721000,10000,2.4856
726000,10000,2.5156
731000,10000,2.5117
736000,10000,2.5121
741000,10000,2.4824
746000,10000,2.4915
751000,10000,2.4867
756000,10000,2.5156
761000,10000,2.4948
766000,10000,2.5392
771000,10000,2.4981
776000,10000,2.5173
781000,10000,2.4887
786000,10000,2.5027
791000,10000,2.5083
796000,10000,2.5052
801000,10000,2.5109
806000,10000,2.4862
811000,10000,2.4922
816000,10000,2.5000
821000,10000,2.5125
826000,10000,2.5000
831000,10000,2.4952
836000,10000,2.4983
841000,10000,2.4956
846000,10000,2.4930
851000,10000,2.5188
856000,10000,2.5045
861000,10000,2.5026
866000,10000,2.4984
871000,10000,2.5076
876000,10000,2.4854
881000,10000,2.4901
886000,10000,2.4968
891000,10000,2.5170
896000,10000,2.4866
901000,10000,2.5242
906000,10000,2.5017
911000,10000,2.5219
916000,10000,2.5073
921000,10000,2.5044
926000,10000,2.4953
931000,10000,2.5053
936000,10000,2.5032
941000,10000,2.5285
946000,10000,2.4969
951000,10000,2.5292
956000,10000,2.5083
961000,10000,2.4704
966000,10000,2.5339
971000,10000,2.4895
976000,10000,2.5068
981000,10000,2.5167
986000,10000,2.5146
991000,10000,2.5049
996000,10000,2.5073
