n,t,depth
1000,100000,10.9951
6000,600000,14.5584
11000,1100000,15.7711
16000,1600000,16.5192
21000,2100000,17.0674
26000,2600000,17.4960
31000,3100000,17.8463
36000,3600000,18.1456
41000,4100000,18.4042
46000,4600000,18.6333
51000,5100000,18.8438
56000,5600000,19.0316
61000,6100000,19.2012
66000,6600000,19.3581
71000,7100000,19.5044
76000,7600000,19.6419
81000,8100000,19.7690
86000,8600000,19.8885
91000,9100000,20.0012
96000,9600000,20.1075
101000,1000000,20.2871
106000,1000000,20.3022
111000,1000000,20.3106
116000,1000000,20.3164
121000,1000000,20.3275
126000,1000000,20.3608
131000,1000000,20.3388
136000,1000000,20.3640
141000,1000000,20.3732
146000,1000000,20.3853
151000,1000000,20.4021
156000,1000000,20.4030
161000,1000000,20.4074
166000,1000000,20.4336
171000,1000000,20.4338
176000,1000000,20.4543
181000,1000000,20.4509
186000,1000000,20.4710
191000,1000000,20.4855
196000,1000000,20.4788
201000,1000000,20.4906
206000,1000000,20.5217
211000,1000000,20.5081
216000,1000000,20.5156
221000,1000000,20.5515
226000,1000000,20.5410
231000,1000000,20.5424
236000,1000000,20.5576
241000,1000000,20.6020
246000,1000000,20.5963
251000,1000000,20.5998
256000,1000000,20.6364
261000,1000000,20.6047
266000,1000000,20.6122
271000,1000000,20.6563
276000,1000000,20.6388
281000,1000000,20.6679
286000,1000000,20.6796
291000,1000000,20.6791
296000,1000000,20.6592
301000,1000000,20.7280
306000,1000000,20.6982
311000,1000000,20.7177
316000,1000000,20.7525
321000,1000000,20.7092
326000,1000000,20.7280
331000,1000000,20.7219
336000,1000000,20.7512
341000,1000000,20.7589
346000,1000000,20.7722
351000,1000000,20.7836
356000,1000000,20.7981
361000,1000000,20.8228
366000,1000000,20.7970
371000,1000000,20.7809
376000,1000000,20.8495
381000,1000000,20.8324
386000,1000000,20.8235
391000,1000000,20.8507
396000,1000000,20.8055
401000,1000000,20.8654
406000,1000000,20.8780
411000,1000000,20.8752
416000,1000000,20.9109
421000,1000000,20.9052
426000,1000000,20.9333
431000,1000000,20.9027
436000,1000000,20.8865
441000,1000000,20.9084
446000,1000000,20.9375
451000,1000000,20.9341
456000,1000000,20.9740
461000,1000000,20.9480
466000,1000000,20.9606
471000,1000000,20.9376
476000,1000000,20.9921
481000,1000000,21.0074
486000,1000000,20.9874
491000,1000000,21.0199
496000,1000000,21.0332
501000,1000000,21.0462
506000,1000000,21.0404
511000,1000000,21.0190
516000,1000000,21.1091
521000,1000000,21.0457
526000,1000000,21.1091
531000,1000000,21.0595
536000,1000000,21.1042
541000,1000000,21.0931
546000,1000000,21.0913
551000,1000000,21.1353
556000,1000000,21.1453
561000,1000000,21.0966
566000,1000000,21.1705
571000,1000000,21.1436
576000,1000000,21.1148
581000,1000000,21.1523
586000,1000000,21.2629
591000,1000000,21.1670
596000,1000000,21.2153
601000,1000000,21.2446
606000,1000000,21.1769
611000,1000000,21.2051
616000,1000000,21.1853
621000,1000000,21.2496
626000,1000000,21.2983
631000,1000000,21.2611
636000,1000000,21.3401
641000,1000000,21.2814
646000,1000000,21.2210
651000,1000000,21.3131
656000,1000000,21.2231
661000,1000000,21.2607
666000,1000000,21.3390
671000,1000000,21.3264
676000,1000000,21.3062
681000,1000000,21.3180
686000,1000000,21.3511
691000,1000000,21.3684
696000,1000000,21.3793
701000,1000000,21.3451
706000,1000000,21.3137
711000,1000000,21.3548
716000,1000000,21.3344
721000,1000000,21.3807
726000,1000000,21.4496
731000,1000000,21.4470
736000,1000000,21.3599
741000,1000000,21.3968
746000,1000000,21.3942
751000,1000000,21.4029
756000,1000000,21.4997
761000,1000000,21.4452
766000,1000000,21.4482
771000,1000000,21.4618
776000,1000000,21.5265
781000,1000000,21.4450
786000,1000000,21.5915
791000,1000000,21.5256
796000,1000000,21.5604
801000,1000000,21.5622
806000,1000000,21.5596
811000,1000000,21.5570
816000,1000000,21.5304
821000,1000000,21.5510
826000,1000000,21.5531
831000,1000000,21.5305
836000,1000000,21.5645
841000,1000000,21.5723
846000,1000000,21.5964
851000,1000000,21.6126
856000,1000000,21.6714
861000,1000000,21.5667
866000,1000000,21.5705
871000,1000000,21.6482
876000,1000000,21.6457
881000,1000000,21.6850
886000,1000000,21.6029
891000,1000000,21.7491
896000,1000000,21.7006
901000,1000000,21.6073
906000,1000000,21.6847
911000,1000000,21.7368
916000,1000000,21.7908
921000,1000000,21.7403
926000,1000000,21.6318
931000,1000000,21.7099
936000,1000000,21.7977
941000,1000000,21.7329
946000,1000000,21.6785
951000,1000000,21.8528
956000,1000000,21.7711
961000,1000000,21.7775
966000,1000000,21.8290
971000,1000000,21.7970
976000,1000000,21.8427
981000,1000000,21.7949
986000,1000000,21.8392
991000,1000000,21.8602
996000,1000000,21.9311
