n,t,avg_path_length
1000,100000,10
6000,600000,14
11000,1000000,15
16000,1000000,15
21000,1000000,15
26000,1000000,15
31000,1000000,15
36000,1000000,15
41000,1000000,15
46000,1000000,15
51000,1000000,15
56000,1000000,15
61000,1000000,15
66000,1000000,15
71000,1000000,15
76000,1000000,15
81000,1000000,15
86000,1000000,15
91000,1000000,15
96000,1000000,15
101000,1000000,15
106000,1000000,15
111000,1000000,15
116000,1000000,15
121000,1000000,15
126000,1000000,15
131000,1000000,15
136000,1000000,15
141000,1000000,15
146000,1000000,15
151000,1000000,15
156000,1000000,15
161000,1000000,15
166000,1000000,15
171000,1000000,15
176000,1000000,15
181000,1000000,15
186000,1000000,15
191000,1000000,15
196000,1000000,15
201000,1000000,15
206000,1000000,15
211000,1000000,15
216000,1000000,15
221000,1000000,15
226000,1000000,15
231000,1000000,15
236000,1000000,15
241000,1000000,15
246000,1000000,15
251000,1000000,15
256000,1000000,15
261000,1000000,15
266000,1000000,15
271000,1000000,15
276000,1000000,15
281000,1000000,15
286000,1000000,15
291000,1000000,15
296000,1000000,15
301000,1000000,15
306000,1000000,15
311000,1000000,15
316000,1000000,15
321000,1000000,15
326000,1000000,15
331000,1000000,15
336000,1000000,15
341000,1000000,15
346000,1000000,15
351000,1000000,15
356000,1000000,15
361000,1000000,15
366000,1000000,15
371000,1000000,16
376000,1000000,16
381000,1000000,16
386000,1000000,15
391000,1000000,16
396000,1000000,16
401000,1000000,16
406000,1000000,16
411000,1000000,16
416000,1000000,16
421000,1000000,16
426000,1000000,16
431000,1000000,16
436000,1000000,16
441000,1000000,16
446000,1000000,16
451000,1000000,16
456000,1000000,16
461000,1000000,16
466000,1000000,16
471000,1000000,16
476000,1000000,16
481000,1000000,16
486000,1000000,16
491000,1000000,16
496000,1000000,16
501000,1000000,16
506000,1000000,16
511000,1000000,16
516000,1000000,16
521000,1000000,16
526000,1000000,16
531000,1000000,16
536000,1000000,16
541000,1000000,16
546000,1000000,16
551000,1000000,16
556000,1000000,16
561000,1000000,16
566000,1000000,16
571000,1000000,16
576000,1000000,16
581000,1000000,16
586000,1000000,16
591000,1000000,16
596000,1000000,16
601000,1000000,16
606000,1000000,16
611000,1000000,16
616000,1000000,16
621000,1000000,16
626000,1000000,16
631000,1000000,16
636000,1000000,16
641000,1000000,16
646000,1000000,16
651000,1000000,16
656000,1000000,16
661000,1000000,16
666000,1000000,16
671000,1000000,16
676000,1000000,16
681000,1000000,16
686000,1000000,16
691000,1000000,16
696000,1000000,16
701000,1000000,16
706000,1000000,16
711000,1000000,16
716000,1000000,16
721000,1000000,16
726000,1000000,16
731000,1000000,16
736000,1000000,16
741000,1000000,16
746000,1000000,16
751000,1000000,16
756000,1000000,16
761000,1000000,16
766000,1000000,16
771000,1000000,16
776000,1000000,16
781000,1000000,16
786000,1000000,16
791000,1000000,16
796000,1000000,16
801000,1000000,16
806000,1000000,16
811000,1000000,16
816000,1000000,16
821000,1000000,16
826000,1000000,16
831000,1000000,16
836000,1000000,16
841000,1000000,16
846000,1000000,16
851000,1000000,16
856000,1000000,16
861000,1000000,16
866000,1000000,16
871000,1000000,16
876000,1000000,16
881000,1000000,16
886000,1000000,16
891000,1000000,16
896000,1000000,16
901000,1000000,16
906000,1000000,16
911000,1000000,16
916000,1000000,16
921000,1000000,16
926000,1000000,16
931000,1000000,16
936000,1000000,16
941000,1000000,16
946000,1000000,16
951000,1000000,16
956000,1000000,16
961000,1000000,16
966000,1000000,16
971000,1000000,16
976000,1000000,16
981000,1000000,16
986000,1000000,16
991000,1000000,16
996000,1000000,16
