n,t,avg_path_length
1000,10000,2
6000,10000,2
11000,10000,2
16000,10000,2
21000,10000,2
26000,10000,2
31000,10000,2
36000,10000,2
41000,10000,2
46000,10000,2
51000,10000,2
56000,10000,2
61000,10000,2
66000,10000,2
71000,10000,2
76000,10000,2
81000,10000,2
86000,10000,2
91000,10000,2
96000,10000,2
101000,10000,2
106000,10000,2
111000,10000,2
116000,10000,2
121000,10000,2
126000,10000,2
131000,10000,2
136000,10000,2
141000,10000,2
146000,10000,2
151000,10000,2
156000,10000,2
161000,10000,2
166000,10000,2
171000,10000,2
176000,10000,2
181000,10000,2
186000,10000,2
191000,10000,2
196000,10000,2
201000,10000,2
206000,10000,2
211000,10000,2
216000,10000,2
221000,10000,2
226000,10000,2
231000,10000,2
236000,10000,2
241000,10000,2
246000,10000,2
251000,10000,2
256000,10000,2
261000,10000,2
266000,10000,2
271000,10000,2
276000,10000,2
281000,10000,2
286000,10000,2
291000,10000,2
296000,10000,2
301000,10000,2
306000,10000,2
311000,10000,2
316000,10000,2
321000,10000,2
326000,10000,2
331000,10000,2
336000,10000,2
341000,10000,2
346000,10000,2
351000,10000,2
356000,10000,2
361000,10000,2
366000,10000,2
371000,10000,2
376000,10000,2
381000,10000,2
386000,10000,2
391000,10000,2
396000,10000,2
401000,10000,2
406000,10000,2
411000,10000,2
416000,10000,2
421000,10000,2
426000,10000,2
431000,10000,2
436000,10000,2
441000,10000,2
446000,10000,2
451000,10000,2
456000,10000,2
461000,10000,2
466000,10000,2
471000,10000,2
476000,10000,2
481000,10000,2
486000,10000,2
491000,10000,2
496000,10000,2
501000,10000,2
506000,10000,2
511000,10000,2
516000,10000,2
521000,10000,2
526000,10000,2
531000,10000,2
536000,10000,2
541000,10000,2
546000,10000,2
551000,10000,2
556000,10000,2
561000,10000,2
566000,10000,2
571000,10000,2
576000,10000,2
581000,10000,2
586000,10000,2
591000,10000,2
596000,10000,2
601000,10000,2
606000,10000,2
611000,10000,2
616000,10000,2
621000,10000,2
626000,10000,2
631000,10000,2
636000,10000,2
641000,10000,2
646000,10000,2
651000,10000,2
656000,10000,2
661000,10000,2
666000,10000,2
671000,10000,2
676000,10000,2
681000,10000,2
686000,10000,2
691000,10000,2
696000,10000,2
701000,10000,2
706000,10000,2
711000,10000,2
716000,10000,2
721000,10000,2
726000,10000,2
731000,10000,2
736000,10000,2
741000,10000,2
746000,10000,2
751000,10000,2
756000,10000,2
761000,10000,2
766000,10000,2
771000,10000,2
776000,10000,2
781000,10000,2
786000,10000,2
791000,10000,2
796000,10000,2
801000,10000,2
806000,10000,2
811000,10000,2
816000,10000,2
821000,10000,2
826000,10000,2
831000,10000,2
836000,10000,2
841000,10000,2
846000,10000,2
851000,10000,2
856000,10000,2
861000,10000,2
866000,10000,2
871000,10000,2
876000,10000,2
881000,10000,2
886000,10000,2
891000,10000,2
896000,10000,2
901000,10000,2
906000,10000,2
911000,10000,2
916000,10000,2
921000,10000,2
926000,10000,2
931000,10000,2
936000,10000,2
941000,10000,2
946000,10000,2
951000,10000,2
956000,10000,2
961000,10000,2
966000,10000,2
971000,10000,2
976000,10000,2
981000,10000,2
986000,10000,2
991000,10000,2
996000,10000,2
